Orthogroup	v2	v5
OG0000007	GRMZM2G057975	Zm00001eb278920
OG0000009	GRMZM2G703190	Zm00001eb314150, Zm00001eb340960, Zm00001eb407410, Zm00001eb363250, Zm00001eb289260, Zm00001eb027070, Zm00001eb245830, Zm00001eb307920, Zm00001eb088540, Zm00001eb249270, Zm00001eb389610, Zm00001eb157390, Zm00001eb319640, Zm00001eb220620, Zm00001eb371750, Zm00001eb378490, Zm00001eb087890, Zm00001eb172470, Zm00001eb081710, Zm00001eb376370, Zm00001eb041660, Zm00001eb269000, Zm00001eb155760, Zm00001eb297630, Zm00001eb158400, Zm00001eb273290, Zm00001eb344860, Zm00001eb223150, Zm00001eb145130, Zm00001eb008670, Zm00001eb183360, Zm00001eb181070, Zm00001eb060240, Zm00001eb377930, Zm00001eb000530, Zm00001eb035110, Zm00001eb202070, Zm00001eb091220, Zm00001eb327650, Zm00001eb372140, Zm00001eb193080, Zm00001eb425940, Zm00001eb009590, Zm00001eb264220, Zm00001eb283190, Zm00001eb092110, Zm00001eb158390, Zm00001eb154400, Zm00001eb302770, Zm00001eb098530, Zm00001eb204440, Zm00001eb336000, Zm00001eb391710, Zm00001eb410320, Zm00001eb387060, Zm00001eb172460
OG0000010	GRMZM2G466769	Zm00001eb185320
OG0000010	GRMZM2G384588, GRMZM2G451001, GRMZM2G337905, GRMZM5G869959, GRMZM2G404617, GRMZM2G340739, GRMZM2G042030, GRMZM5G828387, GRMZM2G450807, GRMZM2G368439, GRMZM2G377889, GRMZM2G041574, GRMZM2G114818, GRMZM2G419875, GRMZM2G332829, GRMZM2G148695, GRMZM2G388834, GRMZM2G437422, GRMZM2G367846, GRMZM2G051339, GRMZM2G106631, GRMZM2G025143, GRMZM2G042332, GRMZM2G009157, GRMZM2G150153, GRMZM2G316106, GRMZM2G131154, GRMZM2G003953, GRMZM2G437711, GRMZM2G326226, GRMZM2G395375, GRMZM2G327263, GRMZM2G076858, GRMZM2G321795, GRMZM2G409956, GRMZM2G016583, GRMZM2G068230, GRMZM2G085508, GRMZM2G080822, GRMZM2G358523, GRMZM2G162087, GRMZM2G038510, GRMZM2G004640, GRMZM2G450897, GRMZM2G338955, GRMZM2G458867, GRMZM2G147362, GRMZM2G372537, GRMZM2G702684, GRMZM2G460542, GRMZM2G163700, GRMZM2G453845, GRMZM2G431723	Zm00001eb369570
OG0000012	GRMZM5G893125, GRMZM2G441548, GRMZM5G808447, GRMZM2G336087, GRMZM2G466358, GRMZM2G307084, GRMZM2G341504, GRMZM2G392486, GRMZM2G492005, GRMZM2G450881, GRMZM2G530440, GRMZM2G348282, GRMZM2G158288, GRMZM5G815757, GRMZM5G869286, GRMZM2G387755, GRMZM2G018274, GRMZM2G371933, GRMZM2G367829, GRMZM2G318515, GRMZM2G098840, GRMZM2G064434, GRMZM2G425079, GRMZM2G384483, GRMZM2G495837, GRMZM2G373277, GRMZM2G470817, GRMZM2G173532, GRMZM2G455805, GRMZM2G137820, GRMZM2G316447, GRMZM2G380687, GRMZM2G451941, GRMZM2G139144, GRMZM2G337929, GRMZM2G356465, GRMZM2G361621, GRMZM2G443138, GRMZM2G062706, GRMZM2G138666, GRMZM2G025640, GRMZM2G433855, GRMZM2G065438, GRMZM2G463633, GRMZM2G466345, GRMZM2G405225, GRMZM2G429301, GRMZM2G047628, GRMZM2G457911, GRMZM2G164311, GRMZM2G459590, GRMZM2G347655	Zm00001eb336780
OG0000013	GRMZM2G381429	Zm00001eb238790
OG0000013	GRMZM2G309275	Zm00001eb169830
OG0000013	GRMZM2G034233, GRMZM2G013123, GRMZM2G036453, GRMZM2G330655, GRMZM2G155091, GRMZM2G152606, GRMZM2G079922, GRMZM2G092186, GRMZM2G028121, GRMZM2G358265, GRMZM2G007723, GRMZM2G308857, GRMZM2G410933, GRMZM2G700248, GRMZM2G066938, GRMZM2G420225, GRMZM2G339272, GRMZM2G374648, GRMZM2G024182, GRMZM2G701816, GRMZM2G377575, GRMZM2G434184, GRMZM2G408483, GRMZM2G389588, GRMZM2G067150, GRMZM2G434640, GRMZM2G081752, GRMZM2G451646, GRMZM2G120026, GRMZM2G309600, GRMZM2G347152	Zm00001eb407940
OG0000015	GRMZM2G353005	Zm00001eb388870
OG0000015	GRMZM2G000877, GRMZM2G156409	Zm00001eb388900
OG0000015	GRMZM2G417554, GRMZM2G700558, GRMZM2G180539, GRMZM2G361151, GRMZM2G370985, GRMZM2G434753, GRMZM2G017324, GRMZM2G300672, GRMZM2G351307, GRMZM2G101932, GRMZM2G012550, GRMZM2G508335, GRMZM2G380605, GRMZM2G134040, GRMZM2G101863, GRMZM2G124927, GRMZM2G386285, GRMZM2G512993, GRMZM2G156924, GRMZM2G166124, GRMZM2G016941, GRMZM5G893477, GRMZM2G137168, GRMZM2G176280, GRMZM2G465722, GRMZM5G894709, GRMZM2G323545	Zm00001eb273270
OG0000016	GRMZM2G420229	Zm00001eb263570, Zm00001eb439210, Zm00001eb230970, Zm00001eb264030, Zm00001eb440240, Zm00001eb439750, Zm00001eb440590, Zm00001eb442910, Zm00001eb437650, Zm00001eb263460, Zm00001eb442750, Zm00001eb440070, Zm00001eb442770, Zm00001eb439250, Zm00001eb441610, Zm00001eb439220, Zm00001eb262130, Zm00001eb263830, Zm00001eb263800, Zm00001eb436930, Zm00001eb439790, Zm00001eb441190, Zm00001eb263670, Zm00001eb263350, Zm00001eb437520, Zm00001eb439780, Zm00001eb437360, Zm00001eb439100, Zm00001eb262330, Zm00001eb263490, Zm00001eb263940, Zm00001eb262370, Zm00001eb439260, Zm00001eb264050, Zm00001eb264000, Zm00001eb262430
OG0000019	GRMZM2G145758	Zm00001eb081270
OG0000019	GRMZM2G451254	Zm00001eb243130
OG0000019	GRMZM2G078314	Zm00001eb146770
OG0000019	GRMZM2G475899	Zm00001eb097910
OG0000019	GRMZM2G179005, GRMZM2G355773, GRMZM2G418258, GRMZM2G447984, GRMZM2G376957, GRMZM2G130079, GRMZM5G864735, GRMZM2G401581	Zm00001eb422440, Zm00001eb422190, Zm00001eb181740
OG0000019	GRMZM2G176358	Zm00001eb269650, Zm00001eb018990
OG0000019	GRMZM2G118355	Zm00001eb378250
OG0000020	GRMZM2G303810, GRMZM2G376708, GRMZM2G058602, GRMZM2G496292, GRMZM2G430194, GRMZM2G064558, GRMZM2G337633, GRMZM2G120885, GRMZM2G025210, GRMZM2G074780, GRMZM2G441827, GRMZM2G329791, GRMZM2G025572, GRMZM2G056678, GRMZM2G174854, GRMZM2G005372, GRMZM2G126270, GRMZM2G104605, GRMZM2G081808, GRMZM2G063924, GRMZM2G134248, GRMZM2G320360, GRMZM2G052621, GRMZM2G071635, GRMZM2G155198, GRMZM2G100519, GRMZM2G129906, GRMZM2G542282, GRMZM2G104722, GRMZM5G814007, GRMZM2G125201	Zm00001eb001520
OG0000022	GRMZM2G154442, GRMZM5G819015, GRMZM2G504023, GRMZM2G551516, GRMZM2G097034, GRMZM2G703399, GRMZM5G815610, GRMZM5G859318, GRMZM5G801539, GRMZM5G817916, GRMZM2G145558, GRMZM2G483501, GRMZM5G835779, GRMZM5G895637, GRMZM2G520254, GRMZM2G484878, GRMZM5G824551, GRMZM2G590885, GRMZM2G555857, GRMZM2G500957, GRMZM2G578622, GRMZM2G070717, GRMZM5G842057, GRMZM5G860390, GRMZM5G805777, GRMZM5G844556, GRMZM2G549793, GRMZM2G059745	Zm00001eb166840
OG0000023	GRMZM5G815176	Zm00001eb074980
OG0000023	GRMZM2G386976, GRMZM5G875847	Zm00001eb127400
OG0000023	GRMZM2G453072, GRMZM5G834539, GRMZM5G806294, GRMZM2G015426, GRMZM2G419104, GRMZM5G870838, GRMZM2G009032, GRMZM2G464246, GRMZM2G050687, GRMZM2G157002, GRMZM5G880418, GRMZM2G412784, GRMZM2G700585, GRMZM2G321500, GRMZM5G829516, GRMZM2G335499, GRMZM2G145978, GRMZM2G033801, GRMZM2G303086, GRMZM2G032583, GRMZM2G177340, GRMZM2G393669, GRMZM2G481179	Zm00001eb051010
OG0000024	GRMZM2G169433, GRMZM2G084794, GRMZM5G846309, GRMZM2G384021, GRMZM2G132310, GRMZM2G129198, GRMZM2G133880, GRMZM2G393056, GRMZM2G026182, GRMZM2G307470, GRMZM2G449309, GRMZM5G883511, GRMZM5G809445, GRMZM2G131513, GRMZM2G436119, GRMZM2G140175, GRMZM2G421779, GRMZM2G401075, GRMZM5G867840, GRMZM5G816097, GRMZM5G850618, GRMZM2G023178, GRMZM2G098804, GRMZM2G179872, GRMZM2G067781, GRMZM2G365472, GRMZM2G325530, GRMZM2G116496	Zm00001eb241470
OG0000027	GRMZM2G349651, GRMZM2G143780, GRMZM2G072855, GRMZM2G421279, GRMZM2G181153, GRMZM2G016232, GRMZM2G149178, GRMZM2G479684, GRMZM2G063896, GRMZM2G073275, GRMZM2G084195, GRMZM2G332838	Zm00001eb313730, Zm00001eb148730, Zm00001eb099930, Zm00001eb123370, Zm00001eb321260, Zm00001eb428040, Zm00001eb072850, Zm00001eb313720, Zm00001eb320810, Zm00001eb187430, Zm00001eb351700, Zm00001eb336310
OG0000028	GRMZM2G153414	Zm00001eb311130, Zm00001eb054780, Zm00001eb059440, Zm00001eb356800, Zm00001eb087850, Zm00001eb292070, Zm00001eb388420, Zm00001eb107790, Zm00001eb029240, Zm00001eb158410, Zm00001eb133620, Zm00001eb112190, Zm00001eb195810, Zm00001eb099660, Zm00001eb324580, Zm00001eb235540, Zm00001eb356810, Zm00001eb059450, Zm00001eb408840, Zm00001eb131610, Zm00001eb261780, Zm00001eb235030, Zm00001eb250840
OG0000029	GRMZM2G177620	Zm00001eb417100
OG0000029	GRMZM2G332452, GRMZM2G467348, GRMZM2G377379, GRMZM2G039564, GRMZM5G869628, GRMZM2G461663, GRMZM2G086308, GRMZM2G094828, GRMZM5G870278, GRMZM2G375302, GRMZM2G034188, GRMZM2G145799, GRMZM2G060822, GRMZM2G458650, GRMZM2G048255, GRMZM2G150122, GRMZM2G007997, GRMZM2G178641, GRMZM2G321072, GRMZM2G461983, GRMZM2G115698	Zm00001eb384030
OG0000033	GRMZM5G826596	Zm00001eb041260
OG0000033	GRMZM2G394586, GRMZM5G853950, GRMZM2G340325, GRMZM2G372961, GRMZM2G022787, GRMZM5G844094, GRMZM2G380291, GRMZM5G842103, GRMZM2G341918, GRMZM5G877084, GRMZM5G826255, GRMZM5G817691, GRMZM5G834380, GRMZM2G703292, GRMZM2G316752, GRMZM5G886384, GRMZM2G338969, GRMZM2G358187, GRMZM2G088007	Zm00001eb247950
OG0000036	GRMZM2G025264	Zm00001eb395400
OG0000036	GRMZM2G456757, GRMZM2G339159, GRMZM2G404551, GRMZM2G366843	Zm00001eb029790
OG0000036	GRMZM2G139886, GRMZM5G893169, GRMZM5G878497, GRMZM5G833365, GRMZM2G085136, GRMZM2G030669	Zm00001eb181280
OG0000038	GRMZM2G066675	Zm00001eb276100, Zm00001eb276070
OG0000038	GRMZM2G094811	Zm00001eb275950
OG0000038	GRMZM2G394259	Zm00001eb275970
OG0000038	GRMZM2G160526	Zm00001eb275900
OG0000038	GRMZM2G160626	Zm00001eb275880
OG0000038	GRMZM2G454608	Zm00001eb276010
OG0000038	GRMZM2G320175	Zm00001eb276030
OG0000039	GRMZM2G138920, GRMZM2G355244, GRMZM2G001283, GRMZM2G133802, GRMZM2G334899, GRMZM2G071790, GRMZM2G042636, GRMZM2G172932, GRMZM2G113750, GRMZM5G880511, GRMZM2G320142, GRMZM2G124805, GRMZM2G176131, GRMZM2G327920, GRMZM2G099944, GRMZM5G853513, GRMZM2G043822, GRMZM2G066191, GRMZM2G108766, GRMZM2G164696	Zm00001eb433790
OG0000040	GRMZM2G354532, GRMZM2G435582, GRMZM2G390041, GRMZM2G467902, GRMZM2G533031, GRMZM2G337714, GRMZM2G031986, GRMZM2G174897, GRMZM2G116731, GRMZM2G064826, GRMZM2G068265, GRMZM2G356529, GRMZM2G346599, GRMZM2G165248, GRMZM2G052884, GRMZM2G340296, GRMZM2G131080, GRMZM5G829145, GRMZM2G353921	Zm00001eb018880, Zm00001eb173950
OG0000042	GRMZM2G429405	Zm00001eb043670
OG0000042	GRMZM2G063505, GRMZM2G465232, GRMZM2G388221, GRMZM2G456454, GRMZM2G436779, GRMZM2G440803, GRMZM2G459432, GRMZM2G316156, GRMZM2G388595, GRMZM2G414907, GRMZM5G828632, GRMZM2G379452, GRMZM2G360792, GRMZM2G471745, GRMZM2G064941, GRMZM2G021364, GRMZM5G896053	Zm00001eb106270
OG0000045	GRMZM2G043250	Zm00001eb243420
OG0000045	GRMZM2G304033, GRMZM2G110210, GRMZM2G048987, GRMZM2G034868, GRMZM2G302323, GRMZM2G005505, GRMZM2G129311, GRMZM2G406651, GRMZM2G463730, GRMZM2G114461, GRMZM2G117108, GRMZM2G155980, GRMZM2G106653, GRMZM2G303723, GRMZM2G355329, GRMZM2G090756	Zm00001eb064180
OG0000046	GRMZM2G001745	Zm00001eb231600
OG0000046	GRMZM2G050497	Zm00001eb150310
OG0000046	GRMZM2G092879	Zm00001eb408410
OG0000046	GRMZM2G090126	Zm00001eb039070
OG0000046	GRMZM2G419992, GRMZM2G414028, GRMZM2G398141, GRMZM2G070713, GRMZM2G441783, GRMZM2G322058, GRMZM2G442372, GRMZM2G116668, GRMZM2G300953	Zm00001eb331840
OG0000047	GRMZM2G320506	Zm00001eb213280
OG0000047	GRMZM2G489927, GRMZM2G029871, GRMZM2G361896, GRMZM2G117444, GRMZM2G360725, GRMZM2G092341, GRMZM2G075382, GRMZM2G179692, GRMZM2G328016, GRMZM2G070434, GRMZM2G010964, GRMZM2G179804, GRMZM2G017695, GRMZM2G159029, GRMZM2G092802, GRMZM2G028926	Zm00001eb060110
OG0000048	GRMZM2G478779	Zm00001eb242040, Zm00001eb306830, Zm00001eb060540, Zm00001eb079680, Zm00001eb086290, Zm00001eb055330, Zm00001eb356050, Zm00001eb348450, Zm00001eb366720, Zm00001eb146780, Zm00001eb216070, Zm00001eb202400, Zm00001eb092070, Zm00001eb063720, Zm00001eb220480, Zm00001eb043800, Zm00001eb267280, Zm00001eb267260
OG0000049	GRMZM2G313646	Zm00001eb137660
OG0000049	GRMZM2G309520	Zm00001eb340930
OG0000049	GRMZM2G330777	Zm00001eb385560, Zm00001eb265920, Zm00001eb129720, Zm00001eb373410, Zm00001eb129260, Zm00001eb254020, Zm00001eb009210, Zm00001eb082010, Zm00001eb340200, Zm00001eb175090, Zm00001eb245660, Zm00001eb138170
OG0000050	GRMZM2G326663	Zm00001eb407430
OG0000050	GRMZM5G858524	Zm00001eb415910, Zm00001eb415880, Zm00001eb415920, Zm00001eb415870, Zm00001eb415830, Zm00001eb407350, Zm00001eb407330, Zm00001eb407260, Zm00001eb407370, Zm00001eb407360, Zm00001eb407380, Zm00001eb407320, Zm00001eb407300, Zm00001eb407310, Zm00001eb407280, Zm00001eb407290
OG0000051	GRMZM2G384988, GRMZM2G155238, GRMZM2G478934, GRMZM2G550611, GRMZM2G109613, GRMZM2G096534, GRMZM2G000242, GRMZM2G448142, GRMZM2G385622, GRMZM5G808402, GRMZM2G448389, GRMZM2G062854, GRMZM2G063271	Zm00001eb435190, Zm00001eb435050, Zm00001eb434920, Zm00001eb039140, Zm00001eb105270
OG0000052	GRMZM2G411530, GRMZM2G379918	Zm00001eb396980, Zm00001eb313120
OG0000052	GRMZM2G347539	Zm00001eb146260
OG0000052	GRMZM5G835222, GRMZM5G848175, GRMZM2G154189, GRMZM2G366181, GRMZM2G009304	Zm00001eb351480
OG0000054	GRMZM2G307210	Zm00001eb045140, Zm00001eb045100
OG0000054	GRMZM2G005977	Zm00001eb045040
OG0000054	GRMZM2G397765	Zm00001eb045030
OG0000054	GRMZM2G317085	Zm00001eb045020
OG0000054	GRMZM2G307222, GRMZM2G331599	Zm00001eb045060, Zm00001eb045130, Zm00001eb045090, Zm00001eb045160, Zm00001eb045120, Zm00001eb045080
OG0000055	GRMZM2G301087	Zm00001eb233460, Zm00001eb142100, Zm00001eb146590, Zm00001eb211810, Zm00001eb221450, Zm00001eb412850, Zm00001eb372460, Zm00001eb077950, Zm00001eb377800, Zm00001eb117200, Zm00001eb056740, Zm00001eb286690, Zm00001eb324290, Zm00001eb266550, Zm00001eb376470, Zm00001eb187990, Zm00001eb331050
OG0000056	GRMZM5G866947, GRMZM2G165511	Zm00001eb149640
OG0000056	GRMZM2G102471	Zm00001eb066940
OG0000056	GRMZM2G156517	Zm00001eb278070
OG0000056	GRMZM2G137918, GRMZM2G106143, GRMZM2G016176	Zm00001eb208220
OG0000056	GRMZM2G086088	Zm00001eb359510
OG0000056	GRMZM5G814314	Zm00001eb157900
OG0000057	GRMZM5G896683	Zm00001eb111240
OG0000057	GRMZM2G071754	Zm00001eb109050, Zm00001eb117440, Zm00001eb170680, Zm00001eb347890, Zm00001eb408810, Zm00001eb081080, Zm00001eb073070, Zm00001eb128510, Zm00001eb244750, Zm00001eb170030, Zm00001eb334530, Zm00001eb350880, Zm00001eb347880, Zm00001eb219470, Zm00001eb359940
OG0000058	GRMZM2G480226	Zm00001eb373830
OG0000058	GRMZM2G096205	Zm00001eb338830, Zm00001eb274350, Zm00001eb375080, Zm00001eb236750, Zm00001eb250130, Zm00001eb090020, Zm00001eb180120, Zm00001eb382860, Zm00001eb045190, Zm00001eb385640, Zm00001eb121750, Zm00001eb136260, Zm00001eb020010, Zm00001eb122800, Zm00001eb386100
OG0000060	GRMZM2G333268	Zm00001eb189660
OG0000060	GRMZM2G051456	Zm00001eb189730
OG0000060	GRMZM2G112988	Zm00001eb189610
OG0000060	GRMZM2G315558	Zm00001eb140150
OG0000060	GRMZM2G020191	Zm00001eb189740, Zm00001eb189590
OG0000060	GRMZM2G369685	Zm00001eb189650
OG0000060	GRMZM2G369705, GRMZM2G060073	Zm00001eb189640, Zm00001eb189670
OG0000061	GRMZM2G469771	Zm00001eb035520, Zm00001eb136780, Zm00001eb177710, Zm00001eb027530, Zm00001eb427840, Zm00001eb386460, Zm00001eb178060, Zm00001eb090010, Zm00001eb180110, Zm00001eb088240, Zm00001eb008330, Zm00001eb102410, Zm00001eb306390, Zm00001eb112800, Zm00001eb341780, Zm00001eb112790, Zm00001eb044530
OG0000063	GRMZM2G303937	Zm00001eb261080
OG0000063	GRMZM2G374248	Zm00001eb261030
OG0000063	GRMZM2G019398	Zm00001eb261110
OG0000063	GRMZM2G064174	Zm00001eb261090
OG0000063	GRMZM2G073373	Zm00001eb261050, Zm00001eb047360, Zm00001eb403200
OG0000063	GRMZM2G160314	Zm00001eb261060, Zm00001eb261000
OG0000065	GRMZM2G414487	Zm00001eb177620
OG0000065	GRMZM2G179406, GRMZM2G467385, GRMZM5G800182, GRMZM2G703565, GRMZM2G701546, GRMZM2G013915, GRMZM5G874290, GRMZM2G331614, GRMZM2G355574, GRMZM5G815955, GRMZM2G323475, GRMZM2G327855	Zm00001eb024610
OG0000065	GRMZM2G435765	Zm00001eb235140
OG0000068	GRMZM2G123838	Zm00001eb061710
OG0000068	GRMZM2G047409	Zm00001eb140200
OG0000068	GRMZM2G123794, GRMZM2G049370	Zm00001eb061690, Zm00001eb061720, Zm00001eb061700
OG0000068	GRMZM2G161306	Zm00001eb061670
OG0000068	GRMZM2G041404, GRMZM2G049432, GRMZM2G349274	Zm00001eb061680
OG0000069	GRMZM2G319988	Zm00001eb277800, Zm00001eb031780
OG0000069	GRMZM2G095084	Zm00001eb152650
OG0000069	GRMZM5G886025	Zm00001eb225590, Zm00001eb191750
OG0000070	GRMZM5G872008	Zm00001eb014620, Zm00001eb336620, Zm00001eb243800, Zm00001eb200600, Zm00001eb044680
OG0000070	GRMZM2G055262, GRMZM2G491166	Zm00001eb174050, Zm00001eb299380
OG0000070	GRMZM2G061318	Zm00001eb365280
OG0000070	GRMZM2G064782	Zm00001eb158460, Zm00001eb208280, Zm00001eb207200
OG0000071	GRMZM2G312292	Zm00001eb433920, Zm00001eb353020, Zm00001eb418710, Zm00001eb372760, Zm00001eb129880, Zm00001eb259780, Zm00001eb348350, Zm00001eb395830, Zm00001eb093620, Zm00001eb377820, Zm00001eb317880, Zm00001eb425690, Zm00001eb198040, Zm00001eb183520, Zm00001eb227840, Zm00001eb274730
