Orthogroup	nam	ncbi
OG0000020	Zm00001eb243420	LOC103646318, LOC100193384, LOC109940901, LOC103627396, LOC103627397, LOC103626030, LOC103643784, LOC103653052, LOC100280229, LOC100216637, LOC103644106, LOC100381780, LOC103633192, LOC109942966, LOC103635025, LOC103645193, LOC103653329, LOC103641487, LOC103650950, LOC103629431, LOC103627519, LOC103647213, LOC103653086, LOC118476272, LOC103648219, LOC103630385, LOC103631522, LOC103651868, LOC103649134, LOC103636329, LOC103648234, LOC103633307, LOC103637704, LOC103640777, LOC103649945, LOC100274145, LOC103644724, LOC103633222, LOC103627272
OG0000021	Zm00001eb238790	LOC118471955, LOC109945029, LOC118476781, LOC103647772, LOC103652321, LOC103639239, LOC111590298, LOC103640991, LOC103637421, LOC103639562, LOC103628875, LOC103653306, LOC103644464, LOC109939526, LOC111589327, LOC100383578, LOC109945531, LOC103649728, LOC109944420, LOC109940577, LOC103643372, LOC109944217, LOC103651401, LOC109943157, LOC109946020, LOC118473006, LOC103630189, LOC118473562, LOC118473517, LOC103646727, LOC109943139, LOC118476299, LOC118476765, LOC103629680, LOC109945089, LOC109944348, LOC113592387, LOC109945163, LOC118473519, LOC103645299
OG0000022	Zm00001eb250700	LOC100272952
OG0000022	Zm00001eb187300, Zm00001eb218780, Zm00001eb108880, Zm00001eb341660, Zm00001eb283700, Zm00001eb076060, Zm00001eb050000, Zm00001eb018060, Zm00001eb420690, Zm00001eb303320, Zm00001eb352010, Zm00001eb218790, Zm00001eb200020, Zm00001eb407110, Zm00001eb345360, Zm00001eb108870, Zm00001eb278750, Zm00001eb292870, Zm00001eb400740, Zm00001eb179520, Zm00001eb423270, Zm00001eb349400, Zm00001eb352000, Zm00001eb186160, Zm00001eb303310, Zm00001eb420680, Zm00001eb273190, Zm00001eb368730, Zm00001eb259770, Zm00001eb249460, Zm00001eb364330, Zm00001eb176280, Zm00001eb173550, Zm00001eb419280, Zm00001eb364310	LOC100277040
OG0000023	Zm00001eb276060	LOC118475612
OG0000023	Zm00001eb275950	LOC103629735
OG0000023	Zm00001eb275970	LOC103629734
OG0000023	Zm00001eb275900	LOC732772
OG0000023	Zm00001eb275880	LOC103629730
OG0000023	Zm00001eb275930, Zm00001eb276040, Zm00001eb442230	LOC118472228, LOC118472311
OG0000023	Zm00001eb276100	LOC103629743
OG0000023	Zm00001eb276020	LOC542387
OG0000023	Zm00001eb442160	LOC118472227
OG0000023	Zm00001eb275980	LOC118472230
OG0000025	Zm00001eb377720	LOC103639820
OG0000025	Zm00001eb377730	LOC103638105
OG0000025	Zm00001eb377660, Zm00001eb076080, Zm00001eb115550, Zm00001eb115610, Zm00001eb115520, Zm00001eb115570, Zm00001eb115540, Zm00001eb115630, Zm00001eb115590, Zm00001eb115500, Zm00001eb115400, Zm00001eb166030, Zm00001eb166040, Zm00001eb166080, Zm00001eb166010, Zm00001eb166020, Zm00001eb035530, Zm00001eb117110, Zm00001eb183040, Zm00001eb023940, Zm00001eb377570	LOC103639813
OG0000026	Zm00001eb115240	LOC103648165, LOC103648132, LOC103644127, LOC111591195, LOC109939515, LOC103630594, LOC109944071, LOC103626689, LOC103632798, LOC103632065, LOC103641337, LOC109944836, LOC103637878, LOC103652892, LOC111589771, LOC103649891, LOC103632207, LOC111590816, LOC103644170, LOC109942598, LOC103629039, LOC109945261, LOC103643392, LOC118472193, LOC103628568, LOC103631841, LOC103631514, LOC100283992, LOC103641923, LOC109943937, LOC103636789, LOC109945076, LOC103627909, LOC109945298, LOC109945700
OG0000029	Zm00001eb009520	rps7-ct
OG0000029	Zm00001eb412340	LOC118475079
OG0000029	Zm00001eb437740	LOC118475627, LOC118475677, LOC118473846, LOC118474762, LOC118475614, LOC118474738
OG0000029	Zm00001eb442130	LOC118474334
OG0000029	Zm00001eb437080	LOC118475499
OG0000030	Zm00001eb081270	LOC100381287
OG0000030	Zm00001eb146770	LOC100502113
OG0000030	Zm00001eb097910	LOC103650575
OG0000030	Zm00001eb422440	LOC103646471, LOC103629514, LOC100192589
OG0000030	Zm00001eb422190	LOC103638044
OG0000030	Zm00001eb271240	LOC103646477
OG0000030	Zm00001eb083380	LOC103641629
OG0000030	Zm00001eb243130	LOC103636448, LOC107648867
OG0000030	Zm00001eb244680	LOC103638137
OG0000030	Zm00001eb018990	LOC103627323
OG0000031	Zm00001eb434640	LOC103650219, LOC118475788
OG0000031	Zm00001eb441850, Zm00001eb436340, Zm00001eb436300, Zm00001eb437510, Zm00001eb442490, Zm00001eb442880, Zm00001eb436240, Zm00001eb437490, Zm00001eb436480, Zm00001eb436190	LOC118475684, LOC118475696, LOC118475431
OG0000031	Zm00001eb437040	LOC118476000
OG0000031	Zm00001eb442780	LOC118475012
OG0000032	Zm00001eb243670	LOC100281482, LOC103632338, LOC103632744, LOC109939943, LOC103632083, LOC103647738, LOC109943273, LOC100383319, LOC103635171, LOC100278843, LOC109941973, LOC109943531, LOC118472150, LOC103638728, LOC103628593, LOC118472984, LOC103643564, LOC118476772, LOC103650517, LOC103646345, LOC103649524, LOC109939386, LOC100282957, LOC103646668, LOC103646652, LOC103638694, LOC103634963, LOC111591124, LOC103638297, LOC103626427, LOC103635554, LOC118476056
OG0000038	Zm00001eb242850	LOC103628199, LOC118476255, LOC118476424, LOC118472323, LOC118473457
OG0000038	Zm00001eb330420	LOC109943485, LOC103646409, LOC118473168, LOC118473426, LOC118473040, LOC118473437, LOC118473405, LOC111590170, LOC109941249, LOC103633553, LOC103646839, LOC109941935, LOC118472299, LOC109939436, LOC118473460, LOC111589975, LOC118473461, LOC118473516, LOC109943511, LOC118476264, LOC103641690, LOC103634350
OG0000040	Zm00001eb440790	LOC118474757
OG0000040	Zm00001eb434910, Zm00001eb440340, Zm00001eb440970, Zm00001eb439980, Zm00001eb380210, Zm00001eb105250, Zm00001eb437190, Zm00001eb027490, Zm00001eb437970	LOC118476108, LOC118474714, LOC118474444, rbcL
OG0000040	Zm00001eb435390	LOC118474822
OG0000040	Zm00001eb435180	LOC118474331
OG0000040	Zm00001eb039150	LOC118474769
OG0000044	Zm00001eb279530	LOC118472114, LOC118476092, LOC103639340, LOC100217019
OG0000044	Zm00001eb126680	LOC100283823
OG0000044	Zm00001eb322060	LOC103640671, LOC100281651, LOC100282800, LOC100281897, LOC100275808, LOC118476182, LOC103647697
OG0000047	Zm00001eb148730	LOC103633139
OG0000047	Zm00001eb313720, Zm00001eb123370	LOC103634138, LOC103646028
OG0000047	Zm00001eb313730	LOC103635780
OG0000047	Zm00001eb187430	LOC103634846
OG0000047	Zm00001eb336310	LOC103646024
OG0000047	Zm00001eb099930	LOC100282268
OG0000048	Zm00001eb255930	LOC118473921
OG0000048	Zm00001eb436890, Zm00001eb439910, Zm00001eb442990, Zm00001eb435620, Zm00001eb419650, Zm00001eb441810, Zm00001eb437730, Zm00001eb380730, Zm00001eb435820, Zm00001eb435340, Zm00001eb438280	LOC118473630
OG0000048	Zm00001eb441950	LOC118475749
OG0000048	Zm00001eb437310	psbA
OG0000048	Zm00001eb438290	LOC118473917
OG0000051	Zm00001eb112140	LOC109944985, LOC111589958
OG0000051	Zm00001eb308100	LOC103637932, LOC103636211, LOC103646385, LOC103642494, LOC103635282, LOC103643171, LOC103645250, LOC100304370, LOC103646364, LOC103650004, LOC103653058, LOC103644503, LOC103646990, LOC103650522, LOC100274682
OG0000051	Zm00001eb024660	LOC100280201, LOC100381458, LOC103636004, LOC103641413
OG0000052	Zm00001eb430660	LOC109943012
OG0000052	Zm00001eb143610	LOC109945140
OG0000052	Zm00001eb080450	LOC109944162
OG0000052	Zm00001eb241120, Zm00001eb197010	LOC103654345
OG0000052	Zm00001eb055250, Zm00001eb222110, Zm00001eb222120, Zm00001eb031320, Zm00001eb044120, Zm00001eb092060, Zm00001eb092700, Zm00001eb245300, Zm00001eb393390, Zm00001eb393380, Zm00001eb283740, Zm00001eb153640	LOC103652335
OG0000053	Zm00001eb352320, Zm00001eb094810	LOC109942278, LOC118476978, LOC118476020, LOC118473180, LOC103654067, LOC103633039, LOC103637918, LOC109940730, LOC103645433, LOC103626767, LOC118476748, LOC103628172, LOC118473081, LOC109943192, LOC103633293, LOC103651636, LOC103653951, LOC103632862, LOC103635806, LOC103628495, LOC111589969
OG0000054	Zm00001eb275100	LOC103629702
OG0000054	Zm00001eb386740	LOC103638716
OG0000054	Zm00001eb374840	LOC100501185
OG0000054	Zm00001eb192290	LOC100383904
OG0000054	Zm00001eb178280	LOC100383137
OG0000054	Zm00001eb002300	LOC103631462
OG0000054	Zm00001eb053440	LOC100383411
OG0000054	Zm00001eb134090	LOC100502231
OG0000054	Zm00001eb116500	LOC542303
OG0000054	Zm00001eb302400	LOC100216710
OG0000055	Zm00001eb434810, Zm00001eb434700, Zm00001eb016030, Zm00001eb141660, Zm00001eb419660, Zm00001eb380740, Zm00001eb070540, Zm00001eb439920, Zm00001eb439950, Zm00001eb437320, Zm00001eb435120, Zm00001eb435350, Zm00001eb435630, Zm00001eb439930, Zm00001eb184820, Zm00001eb437950, Zm00001eb085020, Zm00001eb434860, Zm00001eb255920, Zm00001eb437090, Zm00001eb443000	orf247-ct
OG0000056	Zm00001eb244160, Zm00001eb029630	LOC103628703, LOC103652180, LOC103631456, LOC109945203, LOC103644668
OG0000056	Zm00001eb066570	LOC109940545, LOC103640377, LOC103637338, LOC103631080, LOC103645427, LOC109945690, LOC103634255, LOC109941898, LOC103655238, LOC103652497, LOC103637179, LOC103633965, LOC103637146, LOC541613
OG0000057	Zm00001eb441560, Zm00001eb436790, Zm00001eb440800, Zm00001eb441000, Zm00001eb434990, Zm00001eb435710	LOC118472294
OG0000057	Zm00001eb435440, Zm00001eb438340	LOC118473652, LOC118474767
OG0000057	Zm00001eb437220	LOC118474819, LOC118475434, LOC118474848, LOC118473919, LOC118475930
OG0000059	Zm00001eb045080, Zm00001eb045060, Zm00001eb045160	LOC103643430
OG0000059	Zm00001eb045030	LOC103645346
OG0000059	Zm00001eb045020	LOC103645345
OG0000059	Zm00001eb045040	LOC103645348
OG0000059	Zm00001eb045090	LOC118476137
OG0000060	Zm00001eb226320	LOC103629606, LOC103629596, LOC100278611, LOC103631206, LOC103631205, LOC103631217, LOC118472306, LOC118472300, LOC109943299, LOC118472207, LOC118472213, LOC118472214, LOC103629605, LOC118472203, LOC118472204, LOC118472210, LOC118472211, LOC118472212, LOC118472206, LOC118472205
OG0000061	Zm00001eb426860	LOC103641855
OG0000061	Zm00001eb426870, Zm00001eb180190, Zm00001eb368520, Zm00001eb078380, Zm00001eb017440, Zm00001eb426830	LOC118473525
OG0000061	Zm00001eb324990	LOC100282048, LOC103633324
OG0000061	Zm00001eb426810	LOC103642838
OG0000061	Zm00001eb426820	LOC118473598
OG0000061	Zm00001eb426850	LOC100216989
OG0000061	Zm00001eb426800	LOC103642837
OG0000062	Zm00001eb055500	LOC103643924
OG0000062	Zm00001eb094940	LOC100273382
OG0000062	Zm00001eb303910	LOC100502497
OG0000062	Zm00001eb351420	LOC100192989, LOC103635765
OG0000062	Zm00001eb062530	LOC100272423
OG0000062	Zm00001eb211780	LOC100273222
OG0000062	Zm00001eb289730, Zm00001eb019960, Zm00001eb094950	LOC103649028
OG0000063	Zm00001eb124990	LOC103649810
OG0000063	Zm00001eb017490, Zm00001eb020230, Zm00001eb269670, Zm00001eb109010	LOC109944399, LOC103649298
OG0000063	Zm00001eb184350	LOC103653749
OG0000063	Zm00001eb241250	LOC118471897
OG0000063	Zm00001eb036690, Zm00001eb399740	LOC114711036, LOC118472067
OG0000064	Zm00001eb205670, Zm00001eb205710	LOC103654826
OG0000064	Zm00001eb135820, Zm00001eb125740, Zm00001eb176060, Zm00001eb183450, Zm00001eb373680, Zm00001eb145060, Zm00001eb028150	LOC103644948
OG0000064	Zm00001eb041160	LOC103654829
OG0000064	Zm00001eb205700	LOC103654828
OG0000064	Zm00001eb205630	LOC103654822
OG0000065	Zm00001eb251740	LOC103627602
OG0000065	Zm00001eb251790	LOC100193591
OG0000065	Zm00001eb130160, Zm00001eb130150, Zm00001eb402900, Zm00001eb251720, Zm00001eb251800, Zm00001eb251780	LOC732771
OG0000065	Zm00001eb251770	LOC103627600
OG0000065	Zm00001eb251750	LOC103627596
OG0000065	Zm00001eb251730	LOC103627601
OG0000066	Zm00001eb171510	LOC103653009
OG0000066	Zm00001eb171650, Zm00001eb171540, Zm00001eb171630, Zm00001eb171530, Zm00001eb171580, Zm00001eb171620, Zm00001eb171610, Zm00001eb171600, Zm00001eb171590, Zm00001eb171520, Zm00001eb171490, Zm00001eb171660, Zm00001eb171640, Zm00001eb171570, Zm00001eb171550, Zm00001eb171500	LOC103653008
OG0000067	Zm00001eb345810	LOC109944522, LOC103628684, LOC103637054, LOC109944029, LOC103633684, LOC103652086, LOC100276392, LOC109942338, LOC103633846, LOC103638563, LOC118472241, LOC103655526, LOC103641129, LOC103655822, LOC103626530, LOC103646650, LOC103651309, LOC100384166
OG0000071	Zm00001eb043600, Zm00001eb365860, Zm00001eb201890, Zm00001eb335480, Zm00001eb377360, Zm00001eb124850, Zm00001eb269340, Zm00001eb378670, Zm00001eb266120, Zm00001eb316140, Zm00001eb283410, Zm00001eb163180, Zm00001eb009860, Zm00001eb163450, Zm00001eb117800, Zm00001eb072770, Zm00001eb029480	LOC100382311
OG0000072	Zm00001eb014370	LOC103644608
OG0000072	Zm00001eb014350, Zm00001eb014420, Zm00001eb014260	LOC103634535
OG0000072	Zm00001eb014290	LOC542272, LOC118473580
OG0000072	Zm00001eb014390	LOC109943270
OG0000073	Zm00001eb373410, Zm00001eb340930, Zm00001eb101600, Zm00001eb286510, Zm00001eb241460, Zm00001eb103780, Zm00001eb282170, Zm00001eb324940, Zm00001eb372170, Zm00001eb238490, Zm00001eb109080, Zm00001eb036820, Zm00001eb385560, Zm00001eb265920, Zm00001eb399410, Zm00001eb337580, Zm00001eb137660	LOC118476269
OG0000075	Zm00001eb264350	LOC103635412, LOC103627572, LOC103654164, LOC103654158, LOC109939392, LOC103646115, LOC103643990
OG0000075	Zm00001eb264320	LOC103647670
OG0000075	Zm00001eb345050, Zm00001eb074740, Zm00001eb251150, Zm00001eb123680, Zm00001eb056770, Zm00001eb104940, Zm00001eb192100	LOC109940337
OG0000076	Zm00001eb092330	LOC103647059
OG0000076	Zm00001eb092410, Zm00001eb092470, Zm00001eb092370	LOC103647067, LOC103647064
OG0000076	Zm00001eb092460, Zm00001eb092400	LOC103647062, LOC100277339
OG0000076	Zm00001eb092310	LOC109944646
OG0000076	Zm00001eb092340	LOC109944647
OG0000077	Zm00001eb186030	LOC103640339, LOC109941972, LOC109945886, LOC103646063, LOC103646514, LOC118473471, LOC109941633, LOC111590860, LOC103642026, LOC118476234, LOC109944951, LOC109945967, LOC118473075, LOC118473031, LOC118473033, LOC103655949, LOC100384275
OG0000078	Zm00001eb382470	LOC103646000, LOC109939871, LOC100193237, LOC103649717, LOC103650643, LOC103627015, LOC103634658, LOC542563, LOC118476786, LOC103629658, LOC103644605, LOC103641546, LOC109946050, LOC103645803, LOC111589966, LOC109942758, LOC109945133
OG0000081	Zm00001eb222570	LOC100382880
OG0000081	Zm00001eb047170	pco097024a
OG0000081	Zm00001eb004170	LOC100278319
OG0000081	Zm00001eb403110	LOC103639569
OG0000082	Zm00001eb401020, Zm00001eb367280	LOC103644278
OG0000082	Zm00001eb237400	LOC109939776
OG0000082	Zm00001eb086670	LOC103652107
OG0000082	Zm00001eb024970	LOC103648768, LOC103644833
OG0000082	Zm00001eb010720	LOC103629641, LOC103633600
OG0000082	Zm00001eb063180, Zm00001eb171470	LOC103653006
OG0000083	Zm00001eb342840	LOC100284371
OG0000083	Zm00001eb294800	LOC100191546
OG0000083	Zm00001eb015780, Zm00001eb076450	LOC103644630
OG0000083	Zm00001eb214150	LOC103625854
OG0000083	Zm00001eb191760	LOC103654136
OG0000083	Zm00001eb142640	LOC100191151
OG0000083	Zm00001eb363850	LOC100282942
OG0000083	Zm00001eb142710	LOC100274514
OG0000084	Zm00001eb073070, Zm00001eb081080, Zm00001eb408810, Zm00001eb170030, Zm00001eb128510, Zm00001eb157930, Zm00001eb281220, Zm00001eb037850, Zm00001eb170680, Zm00001eb097840, Zm00001eb036280, Zm00001eb219460, Zm00001eb347890, Zm00001eb111240, Zm00001eb109050, Zm00001eb117440	LOC103635740
OG0000086	Zm00001eb405940	LOC100384031
OG0000086	Zm00001eb405920, Zm00001eb405910	LOC103640712
OG0000086	Zm00001eb405860	LOC103640704, LOC100274731
OG0000086	Zm00001eb405880	LOC103640708
OG0000086	Zm00001eb405980	LOC103640720
OG0000086	Zm00001eb441980, Zm00001eb405960	LOC103640718
OG0000087	Zm00001eb438820	LOC118473868
OG0000087	Zm00001eb438050	ccmFN, LOC118474221
OG0000087	Zm00001eb434740	LOC118475999
OG0000087	Zm00001eb438170	LOC118475720
OG0000087	Zm00001eb436360	LOC118474706
OG0000088	Zm00001eb441010	LOC118473657
OG0000088	Zm00001eb442740	LOC118474853, LOC118475065, LOC118474844, atpI, LOC118474824, LOC118473794
OG0000088	Zm00001eb437240	LOC118475750
OG0000088	Zm00001eb436810	LOC118475936
OG0000092	Zm00001eb409150	LOC103642327
OG0000092	Zm00001eb137460, Zm00001eb317290, Zm00001eb309500, Zm00001eb370750, Zm00001eb309510, Zm00001eb188790, Zm00001eb100520, Zm00001eb343810, Zm00001eb017750, Zm00001eb319080, Zm00001eb038850, Zm00001eb024250, Zm00001eb002150	LOC103644394
OG0000093	Zm00001eb397600	LOC100272911
OG0000093	Zm00001eb148420	LOC103651028
OG0000093	Zm00001eb368000	LOC100501536
OG0000093	Zm00001eb351340	LOC103635762
OG0000093	Zm00001eb012470	LOC100281806
OG0000093	Zm00001eb136490	LOC103650526
OG0000093	Zm00001eb029200	LOC103639924
OG0000094	Zm00001eb128040	LOC542533
OG0000094	Zm00001eb352350	LOC541661, LOC542415
OG0000094	Zm00001eb111740, Zm00001eb333100	LOC103639205
OG0000094	Zm00001eb331200	LOC100217114
OG0000094	Zm00001eb015200	LOC542420
OG0000097	Zm00001eb292070, Zm00001eb087850, Zm00001eb054780, Zm00001eb059440, Zm00001eb356800, Zm00001eb388420, Zm00001eb235540, Zm00001eb311130, Zm00001eb408840, Zm00001eb131610, Zm00001eb261780, Zm00001eb133620, Zm00001eb029240, Zm00001eb158410, Zm00001eb107790	LOC103636008
OG0000098	Zm00001eb043120, Zm00001eb219950, Zm00001eb075590, Zm00001eb305340, Zm00001eb336540, Zm00001eb037130, Zm00001eb206270, Zm00001eb242160, Zm00001eb052920, Zm00001eb236290, Zm00001eb059530, Zm00001eb421440, Zm00001eb386780, Zm00001eb154880, Zm00001eb072160	LOC100286152
OG0000099	Zm00001eb387010	LOC100280334
OG0000099	Zm00001eb281840	LOC101027208
OG0000099	Zm00001eb375040	LOC100382506
OG0000099	Zm00001eb324050	LOC103654862
OG0000099	Zm00001eb206510	LOC542328
OG0000100	Zm00001eb230020	LOC118472024, LOC118476890, LOC118472976, LOC118473499, LOC118472002, LOC118472003, LOC118476996, LOC103654718, LOC118473299, LOC103650735, LOC118476075, LOC118473570, LOC118473528, LOC118472045, LOC109943737
OG0000101	Zm00001eb376350	LOC103638046
OG0000101	Zm00001eb376310, Zm00001eb376190, Zm00001eb376320, Zm00001eb376220, Zm00001eb376910	LOC103638050
OG0000101	Zm00001eb376940	LOC100281531
